"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"bić";0;3;0;0;0;0;2;0;2
"biec";0;0;0;0;0;0;0;0;1
"bieda";2;0;0;0;0;0;1;0;0
"biedak";0;0;0;0;0;0;1;0;0
"biedaka";0;0;0;0;0;0;1;0;0
"biedny";0;0;1;0;0;0;0;0;0
"bieg";0;0;0;0;0;1;1;1;1
"biegli";0;0;0;0;0;0;0;0;2
"biegł";0;0;0;0;0;0;0;0;1
"biegnąc";0;0;0;0;0;0;0;0;1
"biegnąć";1;0;0;0;0;0;1;0;0
"bielić";0;0;0;0;0;0;0;0;1
"bierzmowanie";0;0;2;0;0;0;0;0;0
"bifura";0;1;0;0;0;0;0;0;0
"bilans";0;0;0;0;0;1;0;0;0
"bilba";3;1;0;0;0;0;0;15;0
"bilbo";14;29;0;0;0;0;0;19;0
"bild";0;0;0;0;0;1;0;0;0
"billewiczów";0;0;0;1;0;0;0;0;0
"biograf";0;0;0;0;1;0;0;0;0
"biorąc";0;0;0;0;0;2;0;0;0
"biret";0;0;1;0;0;0;0;0;0
"birkenmajer";0;0;0;0;1;0;0;0;0
"birkenmajera";0;0;0;0;1;0;0;0;0
"biskup";0;0;11;0;17;0;0;0;0
"biskupi";0;0;3;0;0;0;0;0;0
"biskupstwo";0;0;1;0;3;0;0;0;0
"bitny";1;0;0;0;0;0;0;0;0
"bitwa";5;0;0;0;0;0;0;1;4
"biuro";0;0;0;2;0;0;0;0;0
"bizantyjski";0;0;0;0;1;0;0;0;0
"blacha";0;0;0;0;0;1;0;0;0
"blade";0;0;0;0;0;0;0;0;1
"blady";0;0;0;0;0;0;0;1;0
"blask";1;1;0;0;0;0;0;0;1
"blednąć";0;0;0;0;0;0;0;0;1
"bliŝej";2;0;0;0;0;0;0;0;0
"bliski";0;0;2;0;1;0;1;0;1
"bliźnię";0;0;0;1;0;0;0;0;0
"bliżej";0;1;0;0;0;0;1;0;0
"bliższy";0;0;0;0;0;0;0;0;1
"blok";0;0;2;0;0;0;0;0;0
"błaszczykowskim";0;0;0;0;0;1;0;0;0
"błąd";0;0;0;0;0;0;0;1;0
"błąkać";1;0;0;0;0;0;0;0;0
