"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"baraszkować";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"barbarą";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"barbarę";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"barbary";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"barbarze";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"barceloną";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bard";0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
"bardziej";0;0;0;0;1;0;1;0;0;0;1;0;1;2;1;0
"bariera";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bark";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"barka";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"barlog";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"barłóg";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"barok";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"baron";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"barować";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"barring";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"bartkowi";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bartłomieja";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"baruk";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"barwa";0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0
"barwić";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"barwy";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bary";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"barykada";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
"barzej";3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"baszta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"bat";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
"bata";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"batorego";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bawiac";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"bawić";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"bayer";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bayerem";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bayern";0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"bayernem";0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
"bayernie";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"bayernowi";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bayernu";0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
"bazar";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"bazia";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"baziak";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"baziaka";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bazylei";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"bazyliki";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"bazyliszek";0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0
"bądź";0;0;0;0;1;0;0;0;0;0;0;1;0;3;0;0
"bąk";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"beatyfikacyjny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"beatyfikować";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"bebechy";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"beczka";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"beda";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"bedac";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"bedzie";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"beknąć";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"belgii";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"belgijski";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"belka";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
"belli";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"bełchatów";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"bełkot";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bełkotać";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bełkotliwy";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"benedykta";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"benellego";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"benewentu";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"berberys";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"beret";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"berlina";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"berło";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bernard";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"bernie";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"bestia";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"bezczynnosci";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bezdanami";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"bezdroże";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"bezgwiezdny";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezimienny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"bezksięŝycowa";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"bezładny";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"bezmyślny";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"beznadziejny";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
