"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"George R.R. Martin 01 - Gra o tron";"George R.R. Martin 03 - Nawalnica mieczy 01 - Stal i snieg";"George R.R. Martin 04 - Nawalnica mieczy 02 - Krew i zloto";"George R.R. Martin 05 - Uczta dla wron 01 - Cienie smierci";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"broniąc";0;0;0;0;0;0;0;0;0;0;0;0;0,00329229741812424;0;0;0;0;0;0;0,00201085235768
"bronić";0;0;0;0,00070871722182849;0;0;0,000551267916207277;0,00122699386503067;0;0;0,00351493848857645;0,00088809946714032;0,000991080277502478;0;0,00293542074363992;0,000982318271119843;0;0,000732600732600733;0;0,00121065375302663
"brudny";0;0,00562210192466674;0;0;0;0;0,00128000446245169;0;0;0;0;0;0;0,00615896046389221;0;0;0;0,0017010462233607;0;0
"brugge";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00326319066295419;0,00460100844167225;0;0;0
"bruzda";0;0,00220901177898806;0,00813362732293078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00662703533696418
"brwi";0;0;0;0;0;0;0;0,00203799269624992;0;0;0;0;0;0;0,00325041887953754;0;0;0;0;0
"brzask";0;0,00662703533696418;0;0,00193973465213764;0;0;0;0;0;0;0;0;0;0;0;0;0,00758162214450473;0;0;0
"brzeg";0;0,00106693147287116;0;0;0;0,00258694343422184;0;0;0,000838786862238174;0;0,00116162398496253;0;0;0,0017532202849965;0;0;0,00549277601753752;0,000968445490759972;0;0,00160039720930673
"brzmieć";0;0;0,000982115969455693;0;0;0,000862314478073948;0;0,000810998831219241;0,000838786862238174;0,00106093747583255;0;0,00117400363666728;0;0;0;0,0012985541207145;0;0;0;0,000800198604653367
"brzuch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00326319066295419;0,00460100844167225;0;0;0
"brzucho";0;0;0;0;0,00164086666316919;0;0,00150880131982702;0;0;0;0;0;0;0,00725985568744352;0;0;0;0;0;0
"brzydki";0;0;0;0;0,00139204322235453;0,00302926039776564;0,00256000892490338;0;0;0;0;0;0;0;0,00227194529832423;0;0;0;0;0
"brzytwa";0,00265754247590989;0;0;0;0,00199156360604758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"buchać";0;0,00536227295381334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00243364695596144;0;0
"budowa";0;0;0;0;0;0;0;0,00407598539249983;0;0;0;0;0;0;0;0;0;0;0;0,00201085235768
"budować";0;0;0;0;0;0;0,00150880131982702;0;0;0,00219660160045442;0;0;0;0;0;0;0;0,00601530899816749;0;0
"budynek";0,00218957247533297;0;0;0;0;0;0;0;0;0;0;0,0024306976857604;0;0;0;0;0;0,00200510299938916;0;0
"budzić";0;0;0;0,00193973465213764;0;0;0;0;0;0;0;0;0;0,00362992784372176;0;0;0;0,00200510299938916;0;0
"bujny";0,00138957247533297;0;0;0,00246203486061829;0;0;0;0;0,00110213552929328;0;0;0;0;0;0;0;0,00240576952100583;0;0,00115336360834409;0,00105143195772773
"bunt";0;0;0;0;0;0,00178536568438761;0,00150880131982702;0;0;0;0,00481013285442215;0;0;0;0;0;0;0;0;0
"burmistrz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00486729391192287;0,00661738664320192;0
"burza";0;0;0;0;0,00164086666316919;0;0;0;0;0;0;0;0;0;0;0;0,00379081107225236;0;0;0,00165675883424104
"burzyć";0;0,00187403397488891;0;0;0;0;0;0,00142449576373458;0;0;0;0;0;0;0;0;0;0,00340209244672141;0;0,00281105096233337
"but";0,00185754247590989;0;0;0;0;0;0,00128000446245169;0;0;0;0;0;0,00230121714062177;0;0;0,00228087239183434;0;0;0;0
"buta";0,0048;0;0;0;0,00119904076738609;0;0;0;0;0;0;0;0;0,0026525198938992;0,00195694716242661;0,00392927308447937;0;0;0;0
"byc";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0132172205366871;0;0;0,00920201688334449;0;0;0
"być";0;0;0;0,00107340409130387;0,00090801748970609;0,00197595978190445;0;0,000929185995601079;0,000961023586820912;0;0;0;0;0;0;0;0;0;0,0010056926778418;0,000916811847959902
"bych";0,0159452548554593;0,0107245459076267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bydło";0;0;0,00203340683073269;0,00193973465213764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00181737423251408;0
"byl";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0440574017889571;0;0;0,0598131097417392;0;0;0
"byla";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0264344410733742;0;0;0,0230050422083612;0;0;0
"byle";0;0;0;0;0;0;0;0;0,00173665329579074;0;0;0;0;0,00362992784372176;0;0;0;0;0,00363474846502816;0
"bylica";0,00218957247533297;0,00220901177898806;0;0;0;0;0;0;0;0;0;0,0024306976857604;0;0;0;0;0;0;0;0
"bylo";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0308401812522699;0;0;0,036808067533378;0;0;0
"byłoby";0;0;0;0;0;0,00130463144161774;0;0,00122699386503067;0;0;0;0;0;0;0,00195694716242661;0,00196463654223969;0;0,00146520146520147;0;0
"byly";0;0;0;0;0;0;0;0;0,00173665329579074;0;0;0;0;0,00725985568744352;0;0;0,00379081107225236;0;0;0
"byśmy";0;0;0;0;0;0,00216694591969169;0;0,00203799269624992;0;0;0;0;0;0;0;0;0;0;0;0
